"=""0050""",元大台灣卓越50證券投資信託基金,,092/06/25
"=""00934""",中國信託臺灣優選成長高股息ETF證券投資信託基金,,112/10/25
"=""00935""",野村臺灣創新科技50 ETF證券投資信託基金,,112/10/23
"=""00936""",台新臺灣永續高息中小型ETF證券投資信託基金,NA,112/10/30
"=""00938""",凱基台灣優選30 ETF證券投資信託基金,,113/10/14
"=""00939""",統一台灣高息動能ETF證券投資信託基金,,113/03/08
"=""00940""",元大臺灣價值高息ETF證券投資信託基金,,113/03/18
"=""00941""",中國信託上游半導體ETF證券投資信託基金,,113/03/06
"=""00943""",兆豐台灣電子成長高息等權重ETF證券投資信託基金,無,113/05/09
"=""00944""",野村臺灣趨勢動能高股息ETF證券投資信託基金,,113/04/29
"=""00945B""",凱基美國優選收益非投資等級債券ETF證券投資信託基金,無,113/04/22
"=""00946""",群益台灣科技高息成長ETF證券投資信託基金,無,113/04/29
"=""00947""",台新臺灣IC設計動能ETF證券投資信託基&#63754;,NA,113/05/31
"=""00949""",復華日本護城河優勢龍頭企業ETF證券投資信託基金,,113/06/20
"=""00951""",台新日本半導體ETF證券投資信託基金,,113/07/16
"=""00952""",凱基優選台灣AI 50 ETF證券投資信託基金,,113/08/26
"=""00953B""",群益優選收益非投資等級債券ETF證券投資信託基金,無,113/08/12
"=""00954""",中國信託日本ETF傘型證券投資信託基金之中國信託日本半導體ETF證券投資信託基金,,113/08/09
"=""00956""",中國信託日本ETF傘型證券投資信託基金之中國信託日經高股息50ETF證券投資信託基金,,113/08/09
"=""00960""",野村全球航運龍頭息收ETF證券投資信託基金,,113/09/09
"=""00961""",富蘭克林華美臺灣ESG永續高息ETF證券投資信託基金,無,113/10/04
"=""00962""",台新臺灣AI優息動能ETF證券投資信託基金,NA,113/11/27
"=""00963""",中國信託優息ETF傘型證券投資信託基金之中國信託全球高股息ETF證券投資信託基金,,113/11/05
"=""00964""",中國信託優息ETF傘型證券投資信託基金之中國信託亞太高股息ETF證券投資信託基金,,113/11/05
"=""00965""",元大全球航太與防衛科技ETF證券投資信託基金,,113/11/05
"=""00971""",野村美日ETF傘型證券投資信託基金之美國創新研發龍頭ETF證券投資信託基金,,113/12/26
"=""00972""",野村美日ETF傘型證券投資信託基金之日本價值動能高息ETF證券投資信託基金,,113/12/26
